name	electrode_name	type	units	sampling_frequency
AP0,LF0	e000	n/a	V	-1.0
AP1,LF1	e001	n/a	V	-1.0
AP2,LF2	e002	n/a	V	-1.0
AP3,LF3	e003	n/a	V	-1.0
AP4,LF4	e004	n/a	V	-1.0
AP5,LF5	e005	n/a	V	-1.0
AP6,LF6	e006	n/a	V	-1.0
AP7,LF7	e007	n/a	V	-1.0
AP8,LF8	e008	n/a	V	-1.0
AP9,LF9	e009	n/a	V	-1.0
AP10,LF10	e010	n/a	V	-1.0
AP11,LF11	e011	n/a	V	-1.0
AP12,LF12	e012	n/a	V	-1.0
AP13,LF13	e013	n/a	V	-1.0
AP14,LF14	e014	n/a	V	-1.0
AP15,LF15	e015	n/a	V	-1.0
AP16,LF16	e016	n/a	V	-1.0
AP17,LF17	e017	n/a	V	-1.0
AP18,LF18	e018	n/a	V	-1.0
AP19,LF19	e019	n/a	V	-1.0
AP20,LF20	e020	n/a	V	-1.0
AP21,LF21	e021	n/a	V	-1.0
AP22,LF22	e022	n/a	V	-1.0
AP23,LF23	e023	n/a	V	-1.0
AP24,LF24	e024	n/a	V	-1.0
AP25,LF25	e025	n/a	V	-1.0
AP26,LF26	e026	n/a	V	-1.0
AP27,LF27	e027	n/a	V	-1.0
AP28,LF28	e028	n/a	V	-1.0
AP29,LF29	e029	n/a	V	-1.0
AP30,LF30	e030	n/a	V	-1.0
AP31,LF31	e031	n/a	V	-1.0
AP32,LF32	e032	n/a	V	-1.0
AP33,LF33	e033	n/a	V	-1.0
AP34,LF34	e034	n/a	V	-1.0
AP35,LF35	e035	n/a	V	-1.0
AP36,LF36	e036	n/a	V	-1.0
AP37,LF37	e037	n/a	V	-1.0
AP38,LF38	e038	n/a	V	-1.0
AP39,LF39	e039	n/a	V	-1.0
AP40,LF40	e040	n/a	V	-1.0
AP41,LF41	e041	n/a	V	-1.0
AP42,LF42	e042	n/a	V	-1.0
AP43,LF43	e043	n/a	V	-1.0
AP44,LF44	e044	n/a	V	-1.0
AP45,LF45	e045	n/a	V	-1.0
AP46,LF46	e046	n/a	V	-1.0
AP47,LF47	e047	n/a	V	-1.0
AP48,LF48	e048	n/a	V	-1.0
AP49,LF49	e049	n/a	V	-1.0
AP50,LF50	e050	n/a	V	-1.0
AP51,LF51	e051	n/a	V	-1.0
AP52,LF52	e052	n/a	V	-1.0
AP53,LF53	e053	n/a	V	-1.0
AP54,LF54	e054	n/a	V	-1.0
AP55,LF55	e055	n/a	V	-1.0
AP56,LF56	e056	n/a	V	-1.0
AP57,LF57	e057	n/a	V	-1.0
AP58,LF58	e058	n/a	V	-1.0
AP59,LF59	e059	n/a	V	-1.0
AP60,LF60	e060	n/a	V	-1.0
AP61,LF61	e061	n/a	V	-1.0
AP62,LF62	e062	n/a	V	-1.0
AP63,LF63	e063	n/a	V	-1.0
AP64,LF64	e064	n/a	V	-1.0
AP65,LF65	e065	n/a	V	-1.0
AP66,LF66	e066	n/a	V	-1.0
AP67,LF67	e067	n/a	V	-1.0
AP68,LF68	e068	n/a	V	-1.0
AP69,LF69	e069	n/a	V	-1.0
AP70,LF70	e070	n/a	V	-1.0
AP71,LF71	e071	n/a	V	-1.0
AP72,LF72	e072	n/a	V	-1.0
AP73,LF73	e073	n/a	V	-1.0
AP74,LF74	e074	n/a	V	-1.0
AP75,LF75	e075	n/a	V	-1.0
AP76,LF76	e076	n/a	V	-1.0
AP77,LF77	e077	n/a	V	-1.0
AP78,LF78	e078	n/a	V	-1.0
AP79,LF79	e079	n/a	V	-1.0
AP80,LF80	e080	n/a	V	-1.0
AP81,LF81	e081	n/a	V	-1.0
AP82,LF82	e082	n/a	V	-1.0
AP83,LF83	e083	n/a	V	-1.0
AP84,LF84	e084	n/a	V	-1.0
AP85,LF85	e085	n/a	V	-1.0
AP86,LF86	e086	n/a	V	-1.0
AP87,LF87	e087	n/a	V	-1.0
AP88,LF88	e088	n/a	V	-1.0
AP89,LF89	e089	n/a	V	-1.0
AP90,LF90	e090	n/a	V	-1.0
AP91,LF91	e091	n/a	V	-1.0
AP92,LF92	e092	n/a	V	-1.0
AP93,LF93	e093	n/a	V	-1.0
AP94,LF94	e094	n/a	V	-1.0
AP95,LF95	e095	n/a	V	-1.0
AP96,LF96	e096	n/a	V	-1.0
AP97,LF97	e097	n/a	V	-1.0
AP98,LF98	e098	n/a	V	-1.0
AP99,LF99	e099	n/a	V	-1.0
AP100,LF100	e100	n/a	V	-1.0
AP101,LF101	e101	n/a	V	-1.0
AP102,LF102	e102	n/a	V	-1.0
AP103,LF103	e103	n/a	V	-1.0
AP104,LF104	e104	n/a	V	-1.0
AP105,LF105	e105	n/a	V	-1.0
AP106,LF106	e106	n/a	V	-1.0
AP107,LF107	e107	n/a	V	-1.0
AP108,LF108	e108	n/a	V	-1.0
AP109,LF109	e109	n/a	V	-1.0
AP110,LF110	e110	n/a	V	-1.0
AP111,LF111	e111	n/a	V	-1.0
AP112,LF112	e112	n/a	V	-1.0
AP113,LF113	e113	n/a	V	-1.0
AP114,LF114	e114	n/a	V	-1.0
AP115,LF115	e115	n/a	V	-1.0
AP116,LF116	e116	n/a	V	-1.0
AP117,LF117	e117	n/a	V	-1.0
AP118,LF118	e118	n/a	V	-1.0
AP119,LF119	e119	n/a	V	-1.0
AP120,LF120	e120	n/a	V	-1.0
AP121,LF121	e121	n/a	V	-1.0
AP122,LF122	e122	n/a	V	-1.0
AP123,LF123	e123	n/a	V	-1.0
AP124,LF124	e124	n/a	V	-1.0
AP125,LF125	e125	n/a	V	-1.0
AP126,LF126	e126	n/a	V	-1.0
AP127,LF127	e127	n/a	V	-1.0
AP128,LF128	e128	n/a	V	-1.0
AP129,LF129	e129	n/a	V	-1.0
