name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	NeuropixelsImec0	3.4	-0.758	-2.16	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e001	NeuropixelsImec0	3.4	-0.726	-2.16	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e002	NeuropixelsImec0	3.4	-0.774	-2.14	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e003	NeuropixelsImec0	3.4	-0.742	-2.14	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e004	NeuropixelsImec0	3.4	-0.758	-2.12	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e005	NeuropixelsImec0	3.4	-0.726	-2.12	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e006	NeuropixelsImec0	3.4	-0.774	-2.1	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e007	NeuropixelsImec0	3.4	-0.742	-2.1	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e008	NeuropixelsImec0	3.4	-0.758	-2.08	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e009	NeuropixelsImec0	3.4	-0.726	-2.08	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e010	NeuropixelsImec0	3.4	-0.774	-2.06	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e011	NeuropixelsImec0	3.4	-0.742	-2.06	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e012	NeuropixelsImec0	3.4	-0.758	-2.04	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e013	NeuropixelsImec0	3.4	-0.726	-2.04	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e014	NeuropixelsImec0	3.4	-0.774	-2.02	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e015	NeuropixelsImec0	3.4	-0.742	-2.02	n/a	n/a	NeuropixelsImec0	prelimbic cortex (PrL)
e016	NeuropixelsImec0	3.4	-0.758	-2.0	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e017	NeuropixelsImec0	3.4	-0.726	-2.0	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e018	NeuropixelsImec0	3.4	-0.774	-1.98	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e019	NeuropixelsImec0	3.4	-0.742	-1.98	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e020	NeuropixelsImec0	3.4	-0.758	-1.96	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e021	NeuropixelsImec0	3.4	-0.726	-1.96	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e022	NeuropixelsImec0	3.4	-0.774	-1.94	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e023	NeuropixelsImec0	3.4	-0.742	-1.94	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e024	NeuropixelsImec0	3.4	-0.758	-1.92	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e025	NeuropixelsImec0	3.4	-0.726	-1.92	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e026	NeuropixelsImec0	3.4	-0.774	-1.9	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e027	NeuropixelsImec0	3.4	-0.742	-1.9	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e028	NeuropixelsImec0	3.4	-0.758	-1.88	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e029	NeuropixelsImec0	3.4	-0.726	-1.88	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e030	NeuropixelsImec0	3.4	-0.774	-1.86	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e031	NeuropixelsImec0	3.4	-0.742	-1.86	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e032	NeuropixelsImec0	3.4	-0.758	-1.84	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e033	NeuropixelsImec0	3.4	-0.726	-1.84	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e034	NeuropixelsImec0	3.4	-0.774	-1.82	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e035	NeuropixelsImec0	3.4	-0.742	-1.82	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e036	NeuropixelsImec0	3.4	-0.758	-1.8	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e037	NeuropixelsImec0	3.4	-0.726	-1.8	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e038	NeuropixelsImec0	3.4	-0.774	-1.78	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e039	NeuropixelsImec0	3.4	-0.742	-1.78	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e040	NeuropixelsImec0	3.4	-0.758	-1.76	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e041	NeuropixelsImec0	3.4	-0.726	-1.76	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e042	NeuropixelsImec0	3.4	-0.774	-1.74	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e043	NeuropixelsImec0	3.4	-0.742	-1.74	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e044	NeuropixelsImec0	3.4	-0.758	-1.72	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e045	NeuropixelsImec0	3.4	-0.726	-1.72	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e046	NeuropixelsImec0	3.4	-0.774	-1.7	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e047	NeuropixelsImec0	3.4	-0.742	-1.7	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e048	NeuropixelsImec0	3.4	-0.758	-1.68	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e049	NeuropixelsImec0	3.4	-0.726	-1.68	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e050	NeuropixelsImec0	3.4	-0.774	-1.66	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e051	NeuropixelsImec0	3.4	-0.742	-1.66	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e052	NeuropixelsImec0	3.4	-0.758	-1.64	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e053	NeuropixelsImec0	3.4	-0.726	-1.64	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e054	NeuropixelsImec0	3.4	-0.774	-1.62	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e055	NeuropixelsImec0	3.4	-0.742	-1.62	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e056	NeuropixelsImec0	3.4	-0.758	-1.6	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e057	NeuropixelsImec0	3.4	-0.726	-1.6	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
e058	NeuropixelsImec0	3.4	-0.774	-1.58	n/a	n/a	NeuropixelsImec0	anterior cingulate cortex (Cg1)
